Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min)
37,4.9,22.745049,75.892471,22.765049,75.912471,11:33:33,11:45:29,Sunny,High ,2,Snack ,motorcycle ,0,No ,Urban ,24
34,4.5,12.913041,77.683237,13.043041,77.813237,19:45:37,19:51:49,Stormy,Jam ,2,Snack ,scooter ,1,No ,Metropolitian ,33
23,4.4,12.914264,77.6784,12.924264,77.6884,8:32:58,8:48:47,Sandstorms,Low ,0,Drinks ,motorcycle ,1,No ,Urban ,26
38,4.7,11.003669,76.976494,11.053669,77.026494,18:03:58,18:12:52,Sunny,Medium ,0,Buffet ,motorcycle ,1,No ,Metropolitian ,21
32,4.6,12.972793,80.249982,13.012793,80.289982,13:34:16,13:45:36,Cloudy,High ,1,Snack ,scooter ,1,No ,Metropolitian ,30
22,4.8,17.431668,78.408321,17.461668,78.438321,21:23:28,21:30:20,Cloudy,Jam ,0,Buffet ,motorcycle ,1,No ,Urban ,26
33,4.7,23.369746,85.33982,23.479746,85.44982,19:19:19,19:34:16,Fog,Jam ,1,Meal ,scooter ,1,No ,Metropolitian ,40
35,4.6,12.352058,76.60665,12.482058,76.73665,17:29:18,17:31:55,Cloudy,Medium ,2,Meal ,motorcycle ,1,No ,Metropolitian ,32
22,4.8,17.433809,78.386744,17.563809,78.516744,20:56:37,21:06:20,Stormy,Jam ,0,Buffet ,motorcycle ,1,No ,Metropolitian ,34
36,4.2,30.327968,78.046106,30.397968,78.116106,21:59:01,22:10:28,Fog,Jam ,2,Snack ,motorcycle ,3,No ,Metropolitian ,46
21,4.7,10.003064,76.307589,10.043064,76.347589,14:58:54,15:08:51,Stormy,High ,1,Meal ,motorcycle ,1,No ,Metropolitian ,23
23,4.7,18.56245,73.916619,18.65245,74.006619,17:34:29,17:44:14,Sandstorms,Medium ,1,Drinks ,scooter ,1,No ,Metropolitian ,21
34,4.3,30.899584,75.809346,30.919584,75.829346,9:25:55,9:30:40,Sandstorms,Low ,0,Buffet ,motorcycle ,0,No ,Metropolitian ,20
24,4.7,26.463504,80.372929,26.593504,80.502929,19:53:44,20:06:45,Fog,Jam ,1,Snack ,scooter ,1,No ,Metropolitian ,41
29,4.5,19.176269,72.836721,19.266269,72.926721,20:29:25,20:36:48,Sandstorms,Jam ,2,Buffet ,electric_scooter ,1,No ,Metropolitian ,20
35,4,12.311072,76.654878,12.351072,76.694878,14:57:02,15:10:45,Windy,High ,1,Meal ,scooter ,1,No ,Metropolitian ,33
33,4.2,18.592718,73.773572,18.702718,73.883572,20:33:08,20:41:10,Sandstorms,Jam ,2,Snack ,motorcycle ,1,No ,Metropolitian ,40
34,4.9,17.426228,78.407495,17.496228,78.477495,20:43:56,20:52:28,Cloudy,Jam ,0,Snack ,motorcycle ,,No ,Metropolitian ,41
21,4.7,22.552672,88.352885,22.582672,88.382885,21:16:54,21:31:34,Windy,Jam ,0,Meal ,motorcycle ,1,No ,Urban ,15
25,4.1,18.563934,73.915367,18.643935,73.995367,20:24:12,20:29:38,Sandstorms,Jam ,0,Snack ,motorcycle ,2,No ,Metropolitian ,36
31,4.7,23.357804,85.325146,23.487804,85.455146,22:35:33,22:45:19,Sandstorms,Low ,2,Meal ,electric_scooter ,0,No ,Metropolitian ,26
37,5,11.003669,76.976494,11.013669,76.986494,8:20:06,8:33:37,Sandstorms,Low ,1,Snack ,motorcycle ,1,No ,Metropolitian ,20
33,4.3,12.986047,80.218114,13.116047,80.348114,19:35:34,19:49:07,Windy,Jam ,2,Meal ,scooter ,1,No ,Metropolitian ,39
25,4,19.221315,72.862381,19.261315,72.902381,12:26:13,12:33:59,Cloudy,High ,1,Buffet ,motorcycle ,1,No ,Metropolitian ,34
29,4.5,13.005801,80.250744,13.115801,80.360744,18:40:25,18:52:03,Sunny,Medium ,2,Meal ,electric_scooter ,1,No ,Metropolitian ,15
27,5,26.849596,75.800512,26.879596,75.830512,20:40:23,20:41:04,Stormy,Jam ,0,Snack ,motorcycle ,0,No ,Urban ,18
