delivery_person_age,delivery_person_ratings,restaurant_latitude,restaurant_longitude,delivery_location_latitude,delivery_location_longitude,time_orderd,time_order_picked,weatherconditions,road_traffic_density,vehicle_condition,type_of_order,type_of_vehicle,multiple_deliveries,festival,city,time_takenmin,pickup_delay_min,distance_km,order_hour,is_peak_hour,traffic_score,weather_score,vehicle_electric_scooter,vehicle_motorcycle,vehicle_scooter,city_metropolitian,city_nan,city_semi-urban,city_urban,order_buffet,order_drinks,order_meal,order_snack,is_multi_delivery,experience_score
37,4.9,22.745049,75.892471,22.765049,75.912471,1900-01-01 11:33:33,1900-01-01 11:45:29,sunny,high,2,snack,motorcycle,0.0,no,urban,24,11.933333333333334,3.0251492856773803,11,0,3,0,False,True,False,False,False,False,True,False,False,False,True,0,181.3
34,4.5,12.913041,77.683237,13.043041,77.813237,1900-01-01 19:45:37,1900-01-01 19:51:49,stormy,jam,2,snack,scooter,1.0,no,metropolitian,33,6.2,20.18352972873287,19,1,4,4,False,False,True,True,False,False,False,False,False,False,True,1,153.0
23,4.4,12.914264,77.6784,12.924264,77.6884,1900-01-01 08:32:58,1900-01-01 08:48:47,sandstorms,low,0,drinks,motorcycle,1.0,no,urban,26,15.816666666666666,1.5527578022553539,8,0,1,5,False,True,False,False,False,False,True,False,True,False,False,1,101.2
38,4.7,11.003669,76.976494,11.053669,77.026494,1900-01-01 18:03:58,1900-01-01 18:12:52,sunny,medium,0,buffet,motorcycle,1.0,no,metropolitian,21,8.9,7.790401360105807,18,0,2,0,False,True,False,True,False,False,False,True,False,False,False,1,178.6
32,4.6,12.972793,80.249982,13.012793,80.289982,1900-01-01 13:34:16,1900-01-01 13:45:36,cloudy,high,1,snack,scooter,1.0,no,metropolitian,30,11.333333333333334,6.210137965623703,13,1,3,1,False,False,True,True,False,False,False,False,False,False,True,1,147.2
22,4.8,17.431668,78.408321,17.461668,78.438321,1900-01-01 21:23:28,1900-01-01 21:30:20,cloudy,jam,0,buffet,motorcycle,1.0,no,urban,26,6.866666666666666,4.610365144356333,21,1,4,1,False,True,False,False,False,False,True,True,False,False,False,1,105.6
33,4.7,23.369746,85.33982,23.479746,85.44982,1900-01-01 19:19:19,1900-01-01 19:34:16,fog,jam,1,meal,scooter,1.0,no,metropolitian,40,14.95,16.600361127913082,19,1,4,3,False,False,True,True,False,False,False,False,False,True,False,1,155.1
35,4.6,12.352058,76.60665,12.482058,76.73665,1900-01-01 17:29:18,1900-01-01 17:31:55,cloudy,medium,2,meal,motorcycle,1.0,no,metropolitian,32,2.6166666666666667,20.20525323529313,17,0,2,1,False,True,False,True,False,False,False,False,False,True,False,1,161.0
22,4.8,17.433809,78.386744,17.563809,78.516744,1900-01-01 20:56:37,1900-01-01 21:06:20,stormy,jam,0,buffet,motorcycle,1.0,no,metropolitian,34,9.716666666666667,19.97552008622187,20,1,4,4,False,True,False,True,False,False,False,True,False,False,False,1,105.6
36,4.2,30.327968,78.046106,30.397968,78.116106,1900-01-01 21:59:01,1900-01-01 22:10:28,fog,jam,2,snack,motorcycle,3.0,no,metropolitian,46,11.45,10.280582064622465,21,1,4,3,False,True,False,True,False,False,False,False,False,False,True,1,151.20000000000002
21,4.7,10.003064,76.307589,10.043064,76.347589,1900-01-01 14:58:54,1900-01-01 15:08:51,stormy,high,1,meal,motorcycle,1.0,no,metropolitian,23,9.95,6.242318682700942,14,1,3,4,False,True,False,True,False,False,False,False,False,True,False,1,98.7
23,4.7,18.56245,73.916619,18.65245,74.006619,1900-01-01 17:34:29,1900-01-01 17:44:14,sandstorms,medium,1,drinks,scooter,1.0,no,metropolitian,21,9.75,13.787860239172238,17,0,2,5,False,False,True,True,False,False,False,False,True,False,False,1,108.10000000000001
34,4.3,30.899584,75.809346,30.919584,75.829346,1900-01-01 09:25:55,1900-01-01 09:30:40,sandstorms,low,0,buffet,motorcycle,0.0,no,metropolitian,20,4.75,2.930257800762021,9,0,1,5,False,True,False,True,False,False,False,True,False,False,False,0,146.2
24,4.7,26.463504,80.372929,26.593504,80.502929,1900-01-01 19:53:44,1900-01-01 20:06:45,fog,jam,1,snack,scooter,1.0,no,metropolitian,41,13.016666666666667,19.39661829066188,19,1,4,3,False,False,True,True,False,False,False,False,False,False,True,1,112.80000000000001
29,4.5,19.176269,72.836721,19.266269,72.926721,1900-01-01 20:29:25,1900-01-01 20:36:48,sandstorms,jam,2,buffet,electric_scooter,1.0,no,metropolitian,20,7.383333333333334,13.763977224427299,20,1,4,5,True,False,False,True,False,False,False,True,False,False,False,1,130.5
35,4.0,12.311072,76.654878,12.351072,76.694878,1900-01-01 14:57:02,1900-01-01 15:10:45,windy,high,1,meal,scooter,1.0,no,metropolitian,33,13.716666666666667,6.218001190187312,14,1,3,2,False,False,True,True,False,False,False,False,False,True,False,1,140.0
33,4.2,18.592718,73.773572,18.702718,73.883572,1900-01-01 20:33:08,1900-01-01 20:41:10,sandstorms,jam,2,snack,motorcycle,1.0,no,metropolitian,40,8.033333333333333,16.849939918016943,20,1,4,5,False,True,False,True,False,False,False,False,False,False,True,1,138.6
34,4.9,17.426228,78.407495,17.496228,78.477495,1900-01-01 20:43:56,1900-01-01 20:52:28,cloudy,jam,0,snack,motorcycle,0.0,no,metropolitian,41,8.533333333333333,10.757108800258175,20,1,4,1,False,True,False,True,False,False,False,False,False,False,True,0,166.60000000000002
21,4.7,22.552672,88.352885,22.582672,88.382885,1900-01-01 21:16:54,1900-01-01 21:31:34,windy,jam,0,meal,motorcycle,1.0,no,urban,15,14.666666666666666,4.540574388730574,21,1,4,2,False,True,False,False,False,False,True,False,False,True,False,1,98.7
25,4.1,18.563934,73.915367,18.643935,73.995367,1900-01-01 20:24:12,1900-01-01 20:29:38,sandstorms,jam,0,snack,motorcycle,2.0,no,metropolitian,36,5.433333333333334,12.25607644546856,20,1,4,5,False,True,False,True,False,False,False,False,False,False,True,1,102.49999999999999
31,4.7,23.357804,85.325146,23.487804,85.455146,1900-01-01 22:35:33,1900-01-01 22:45:19,sandstorms,low,2,meal,electric_scooter,0.0,no,metropolitian,26,9.766666666666667,19.61873934880106,22,1,1,5,True,False,False,True,False,False,False,False,False,True,False,0,145.70000000000002
